index,name,type1,type2,ability1,ability2,hidden_ability,hp,attack,defense,sp_atk,sp_def,speed,total_stats,legendary,mythical,generation,Smogon_VGC_Usage_2022,Smogon_VGC_Usage_2023,Smogon_VGC_Usage_2024,Worlds_VGC_Usage_2022,Worlds_VGC_Usage_2023,Worlds_VGC_Usage_2024,Smogon_VGC_Usage_2014,Smogon_VGC_Usage_2015,Smogon_VGC_Usage_2016,Smogon_VGC_Usage_2017,Smogon_VGC_Usage_2018,Smogon_VGC_Usage_2019,Smogon_VGC_Usage_2020,Smogon_VGC_Usage_2021,Worlds_VGC_Usage_2024_Numeric
1,bulbasaur,grass,poison,overgrow,No_ability,chlorophyll,45,49,49,65,65,45,318,False,False,generation-i,0.0,NoUsage,0.0,NoUsage,NoUsage,NoUsage,0.0,0.0,0.0,NoUsage,0.0,NoUsage,NoUsage,2e-05,
2,ivysaur,grass,poison,overgrow,No_ability,chlorophyll,60,62,63,80,80,60,405,False,False,generation-i,0.0,NoUsage,0.0,NoUsage,NoUsage,NoUsage,0.0,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.0,
3,venusaur,grass,poison,overgrow,No_ability,chlorophyll,80,82,83,100,100,80,525,False,False,generation-i,20.83915,NoUsage,0.4441,19.62,NoUsage,0.09,7.2233,0.7605,0.68624,NoUsage,0.16518,3.1258,NoUsage,21.78005,0.09
3,venusaur-mega,grass,poison,thick-fat,No_ability,None ,80,100,123,122,120,80,625,False,False,generation-i,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,1.60227,0.10148,NoUsage,0.47759,0.1111,NoUsage,NoUsage,
3,venusaur-gmax,grass,poison,overgrow,No_ability,chlorophyll,80,82,83,100,100,80,525,False,False,generation-i,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,
4,charmander,fire,No_type,blaze,No_ability,solar-power,39,52,43,60,50,65,309,False,False,generation-i,0.0,0.0,0.0,NoUsage,NoUsage,NoUsage,0.0,1e-05,0.0,NoUsage,NoUsage,NoUsage,0.0,0.0,
5,charmeleon,fire,No_type,blaze,No_ability,solar-power,58,64,58,80,65,80,405,False,False,generation-i,0.0,0.0,0.0,NoUsage,NoUsage,NoUsage,0.0,0.0,NoUsage,NoUsage,NoUsage,NoUsage,0.0,0.0,
6,charizard,fire,flying,blaze,No_ability,solar-power,78,84,78,109,85,100,534,False,False,generation-i,7.17374,0.44681,0.04722,20.53,NoUsage,3.19,27.39563,0.11265,0.00379,NoUsage,0.00148,0.00802,8.22241,8.144,3.19
6,charizard-mega-x,fire,dragon,tough-claws,No_ability,None ,78,130,111,130,85,100,634,False,False,generation-i,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.9262,0.09879,NoUsage,0.43085,0.11245,NoUsage,NoUsage,
6,charizard-mega-y,fire,flying,drought,No_ability,None ,78,104,78,159,115,100,634,False,False,generation-i,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,9.55568,1.16553,NoUsage,11.41078,0.13877,NoUsage,NoUsage,
6,charizard-gmax,fire,flying,blaze,No_ability,solar-power,78,84,78,109,85,100,534,False,False,generation-i,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,
7,squirtle,water,No_type,torrent,No_ability,rain-dish,44,48,65,50,64,43,314,False,False,generation-i,0.0,NoUsage,0.0,NoUsage,NoUsage,NoUsage,0.0,0.0,0.0,NoUsage,NoUsage,NoUsage,NoUsage,0.0,
